trip_id,total_km,highway_km,fuel_l_per_100km,fuel_liters,avg_speed,max_speed,overspeed_km,hard_accel,hard_brake,night_trip,idle_sec,total_sec,trip_year,trip_month
tg001,2.16,0,8.472,0.183,14.35,47,0,0,2,FALSE,116,542,2022,2
tg002,4.427,0,6.257,0.277,18.75,45,0,0,3,FALSE,51,850,2022,2
tg003,14.146,0,4.701,0.665,17.03,53,1.294,0,3,FALSE,850,2990,2022,2
tg004,2.078,0,8.807,0.183,14.9,42,0.426,0,0,FALSE,109,502,2022,3
tg005,5.679,0,5.952,0.338,17.44,50,0.132,0,1,FALSE,187,1172,2022,4
tg006,247.5,214,5.502,13.617,77.58,146,20.029,0,1,FALSE,653,11485,2022,4
tg007,245.058,214,5.066,12.414,90.29,135,20.18,0,0,FALSE,290,9771,2022,4
tg008,13.89,0,4.629,0.643,20.85,60,1.74,0,3,FALSE,404,2398,2022,5
tg009,124.116,105,4.921,6.108,66.7,128,11.557,0,3,FALSE,293,6699,2022,5
tg010,219.805,201,5.035,11.068,80.15,135,21.177,0,3,FALSE,693,9873,2022,5
tg011,160.088,148,4.57,7.316,72.28,127,14.458,0,1,FALSE,181,7973,2022,5
tg012,22.655,0,3.672,0.832,37.9,71,5.939,0,3,FALSE,192,2152,2022,7
tg013,251.277,223,5.289,13.289,86.25,135,66.217,0,3,FALSE,952,10488,2022,7
tg014,317.557,283,4.893,15.538,106.41,137,20.485,0,1,FALSE,117,10743,2022,7
tg015,2.378,0,2.355,0.056,28.92,50,0,0,0,FALSE,0,296,2022,7
tg016,29.314,0,3.364,0.986,54.12,102,0,0,0,FALSE,3,1950,2022,7
tg017,274.53,241,5.617,15.421,97.09,136,14.535,0,2,FALSE,629,10179,2022,7
tg018,252.567,226,4.938,12.473,94.17,144,81.839,0,2,FALSE,222,9655,2022,7
tg019,284.585,242,5.093,14.495,93.78,136,28.265,0,3,FALSE,148,10924,2022,8
tg020,449.1,394,4.999,22.452,103.63,135,32.955,0,0,FALSE,8,15601,2022,8
